性别,出生日期,学历,入职日期,服务违章,安全违章,事故
1,50,4,14,0,0,0
1,37,1,8,0,0,0
1,32,1,8,0,0,0
1,48,5,10,0,0,0
1,37,9,10,0,0,0
1,37,6,11,0,0,0
1,34,9,10,0,0,0
1,33,4,10,0,0,0
1,49,4,13,0,0,0
1,35,6,9,0,0,0
1,49,2,33,0,0,0
1,54,4,11,0,0,0
1,32,1,8,0,0,0
1,32,1,8,0,0,0
1,34,1,8,0,0,0
1,37,1,7,0,0,0
1,31,1,7,0,0,0
1,47,1,26,0,0,0
1,42,1,18,0,0,0
1,29,1,7,0,0,0
1,48,9,29,0,0,0
1,47,9,16,0,0,0
1,36,3,12,0,0,0
1,60,4,20,0,0,0
1,48,6,18,0,0,0
1,44,4,17,0,0,0
1,42,5,16,0,0,0
1,46,3,11,0,0,0
1,34,9,10,0,0,0
1,52,5,8,0,0,0
1,29,1,5,0,0,0
1,45,4,8,0,0,0
1,49,1,7,0,0,0
1,45,1,9,0,0,0
1,34,7,2,1,1,1
1,34,0,7,1,0,0
1,32,1,7,0,0,0
1,35,1,7,0,0,0
0,38,2,16,0,0,0
1,30,4,5,0,0,0
1,49,1,7,0,1,0
1,28,3,5,0,0,0
0,42,3,15,0,0,0
1,35,1,7,1,0,0
1,30,1,7,1,0,1
1,38,1,8,0,0,0
0,41,0,16,0,0,0
1,49,7,9,1,1,0
1,46,1,8,0,0,0
1,48,4,10,0,0,0
1,46,1,7,0,0,0
1,41,1,11,1,0,1
1,29,3,6,0,0,0
1,30,3,6,0,1,0
1,30,3,3,0,0,1
1,47,4,15,0,0,0
1,40,0,5,0,1,1
1,29,1,5,0,0,0
1,49,1,9,0,1,0
1,48,1,7,0,0,0
1,57,0,13,0,0,0
1,36,1,12,1,0,0
1,39,1,8,0,0,1
1,43,0,12,0,0,0
1,41,1,13,0,1,0
1,51,2,13,0,0,0
1,42,0,12,0,0,0
0,39,0,16,1,0,0
1,49,2,15,0,0,0
1,52,2,14,1,0,1
1,36,1,7,0,0,0
1,42,0,12,0,0,0
1,43,0,12,0,1,0
1,49,2,13,0,0,0
1,47,0,13,0,0,0
1,55,2,12,1,1,1
1,41,0,13,0,0,0
1,48,2,13,0,0,0
1,42,0,13,0,0,0
1,32,0,5,1,1,1
1,36,0,5,0,0,0
1,32,0,5,1,0,1
1,43,1,7,0,0,0
1,47,0,13,0,1,0
1,48,0,12,0,0,0
0,37,0,10,1,0,0
1,39,0,12,1,0,0
1,51,2,13,0,0,0
1,48,0,13,0,1,0
1,51,0,12,0,0,0
1,31,3,5,0,0,0
1,33,2,5,0,0,0
1,29,2,5,0,0,0
1,38,0,5,0,0,0
1,34,1,5,0,0,0
1,27,4,4,0,0,0
1,59,2,18,0,0,0
1,28,0,5,1,0,1
1,44,0,5,0,0,0
1,50,2,13,0,0,0
1,53,4,11,0,0,0
1,49,5,20,0,0,0
1,55,0,14,1,0,0
1,49,2,12,0,0,0
1,55,2,11,0,0,0
1,51,0,11,0,0,1
1,57,2,12,1,0,0
1,53,2,11,1,1,0
1,37,0,12,1,0,0
1,49,1,8,0,0,0
1,37,1,8,0,0,0
1,27,0,4,0,0,1
1,51,4,13,0,0,0
1,36,0,11,1,0,0
1,52,2,13,0,1,0
1,27,3,4,0,0,0
1,54,2,11,0,0,0
1,59,0,3,1,0,0
1,51,0,18,0,0,0
0,42,4,22,0,0,0
1,29,1,4,1,0,0
0,37,9,9,0,0,0
1,42,0,11,0,0,0
1,41,0,3,1,1,1
1,36,3,4,0,0,0
1,36,0,10,1,0,0
1,41,2,11,1,1,0
1,36,3,11,1,0,0
1,35,6,10,1,0,0
1,51,2,10,0,0,0
1,46,2,16,0,0,0
1,40,3,4,0,0,0
1,35,3,11,0,0,0
1,48,1,7,0,0,0
1,49,0,25,0,0,0
1,47,0,28,0,0,0
0,38,0,11,0,0,0
1,43,1,8,0,0,0
0,41,0,11,0,0,0
1,47,0,4,0,0,0
1,47,4,26,0,0,0
1,42,4,13,0,0,0
1,44,9,26,0,0,0
0,37,1,17,0,0,0
1,48,2,23,0,0,0
1,35,1,12,1,0,0
1,53,0,9,0,0,0
1,32,1,9,0,1,0
1,36,5,3,0,0,0
1,41,1,3,0,1,0
1,44,1,11,0,0,0
1,28,1,3,0,0,0
1,38,4,10,0,0,0
1,40,1,11,0,1,0
1,34,0,3,1,1,0
1,42,4,11,0,0,0
1,41,0,10,1,0,0
1,53,0,37,0,1,0
1,41,0,10,0,0,0
1,57,2,17,0,0,0
1,42,0,5,0,0,0
1,45,1,9,0,1,0
1,34,0,10,1,0,0
1,35,1,10,0,0,0
1,33,0,10,1,1,0
1,38,1,9,0,1,0
1,37,1,4,0,0,0
1,51,1,8,0,1,0
1,51,2,10,0,0,0
1,42,1,9,1,1,0
1,47,2,10,1,1,1
1,26,7,2,0,0,0
1,37,1,11,1,0,0
1,36,1,9,0,1,0
1,57,0,15,0,0,0
1,39,0,5,0,0,0
1,50,2,14,0,0,0
1,41,5,17,0,0,0
1,56,2,23,0,0,1
0,32,1,2,0,0,0
1,32,0,2,1,0,0
1,29,1,2,0,1,1
1,35,7,2,1,0,0
1,30,1,2,1,0,0
1,56,0,16,0,0,0
1,56,0,17,0,0,0
1,53,2,20,1,0,0
1,56,2,19,1,1,1
1,35,1,8,0,0,0
1,41,0,2,0,0,0
1,41,1,2,1,0,0
1,26,2,2,1,0,1
1,36,1,7,0,0,0
1,56,0,36,0,0,0
1,45,0,23,0,0,0
1,40,5,15,0,0,1
0,42,0,22,1,0,0
1,29,1,2,1,1,0
1,40,0,16,1,0,0
1,39,0,13,0,0,1
1,37,0,13,0,0,0
1,41,0,18,0,1,1
1,55,0,22,0,0,0
1,49,0,18,0,0,0
1,45,0,13,0,0,0
1,32,1,8,0,1,0
1,50,5,19,0,0,0
1,42,6,9,0,0,1
1,39,1,8,0,1,0
1,46,0,15,0,0,1
1,56,0,19,0,1,0
1,42,0,20,1,1,0
1,46,0,17,0,0,1
1,47,6,15,0,0,0
1,48,0,22,0,0,1
1,43,0,19,0,0,1
1,31,3,5,0,0,0
1,52,2,19,0,1,0
1,41,0,16,0,0,1
1,50,2,14,1,0,0
1,42,2,18,1,0,0
1,55,2,15,1,1,0
1,42,1,7,0,0,1
1,44,2,19,0,0,0
1,48,2,18,0,0,0
1,51,2,28,0,0,0
1,46,3,18,0,0,0
1,48,0,15,0,0,0
1,40,1,14,0,0,0
1,53,2,16,0,0,0
1,50,0,26,1,1,0
1,42,0,16,0,0,0
1,51,2,14,0,0,1
1,42,0,16,0,0,0
1,46,1,21,0,1,1
1,53,0,19,0,0,1
1,45,2,20,0,0,0
1,45,0,18,0,1,0
1,52,2,16,0,0,1
1,51,1,11,0,1,0
1,48,0,20,0,0,1
1,53,0,19,0,0,0
0,40,0,16,0,0,0
1,42,5,14,0,0,0
1,38,0,14,0,0,0
1,56,2,15,0,0,0
1,45,0,18,0,0,0
1,47,0,19,0,0,0
1,46,0,15,1,0,1
1,42,1,14,0,0,0
